,year,mon,day,phonecharge_time
0,2013,3,27,0
1,2013,3,28,0
2,2013,3,29,0
3,2013,3,30,0
4,2013,3,31,0
5,2013,4,1,10537
6,2013,4,2,0
7,2013,4,3,0
8,2013,4,4,0
9,2013,4,5,0
10,2013,4,6,13568
11,2013,4,7,0
12,2013,4,10,0
13,2013,4,12,0
14,2013,4,13,3774
15,2013,4,14,4440
16,2013,4,15,0
17,2013,4,16,0
18,2013,4,18,0
19,2013,4,19,0
20,2013,4,20,9760
21,2013,4,21,0
22,2013,4,22,4119
23,2013,4,23,13553
24,2013,4,24,0
25,2013,4,25,12573
26,2013,4,26,10782
27,2013,4,28,14337
28,2013,4,29,13915
29,2013,4,30,5650
30,2013,5,1,0
31,2013,5,3,29873
32,2013,5,4,3603
33,2013,5,5,0
34,2013,5,6,0
35,2013,5,8,0
36,2013,5,9,0
37,2013,5,12,11294
38,2013,5,13,17220
39,2013,5,15,3915
40,2013,5,20,20175
41,2013,5,24,0
42,2013,5,26,0
