,year,mon,day,phonecharge_time
0,2013,3,27,5921
1,2013,3,28,0
2,2013,3,29,12899
3,2013,3,31,7804
4,2013,4,1,8185
5,2013,4,3,6981
6,2013,4,5,0
7,2013,4,6,0
8,2013,4,7,0
9,2013,4,8,0
10,2013,4,9,7367
11,2013,4,10,24433
12,2013,4,11,0
13,2013,4,12,13179
14,2013,4,14,42314
15,2013,4,15,10815
16,2013,4,16,0
17,2013,4,17,18869
18,2013,4,19,32561
19,2013,4,20,4169
20,2013,4,21,9513
21,2013,4,22,25620
22,2013,4,23,11506
23,2013,4,24,0
24,2013,4,25,41213
25,2013,4,26,20848
26,2013,4,27,0
27,2013,4,29,13812
28,2013,4,30,0
29,2013,5,1,0
30,2013,5,3,0
31,2013,5,6,0
32,2013,5,7,0
33,2013,5,8,0
34,2013,5,9,0
35,2013,5,10,0
36,2013,5,12,0
37,2013,5,14,0
38,2013,5,16,31943
39,2013,5,17,0
40,2013,5,25,0
41,2013,5,27,0
