,uid,bluetooth_sum,bluetooth_var,bluetooth_mean,bluetooth_day_num,conversation_sum,conversation_var,conversation_mean,conversation_day_num,dark_sum,dark_var,dark_mean,dark_day_num,phonecharge_sum,phonecharge_var,phonecharge_mean,phonecharge_day_num,phonelock_sum,phonelock_var,phonelock_mean,phonelock_day_num
0,u00,2541,493.8578024007387,44.57894736842106,57,1452341,72158877.56071006,22343.70769230769,65,1248810,344591748.40472996,5626.55737704918,61,397094.0,194693316.70791197,2929.609756097561,41,1669500,303665505.7651169,7350.618852459016,61
1,u01,1009,226.03385657125267,17.70175438596491,57,1590217,99563959.31767751,30581.096153846152,52,1796748,607622465.9187442,8388.855263157895,57,127751.0,74670998.89737654,1395.520833333333,36,2065890,491815876.6371191,9569.412280701754,57
2,u02,3526,608.6685032139577,53.42424242424242,66,1173084,110744024.16715936,19230.88524590164,61,1145876,306296825.01560867,5128.939516129032,62,348357.0,74186252.81416668,1960.041666666667,60,968785,200169522.5097222,4545.0625,60
3,u03,518,118.62224866151102,12.634146341463413,41,193563,15600147.975554548,4118.36170212766,47,458595,358539899.61474437,4461.698275862069,29,234113.0,214130075.97888887,2459.8,30,887594,607654866.3506209,6505.648648648647,37
4,u04,2809,592.7633117882425,49.280701754385966,57,1451913,27336310.16805171,25472.157894736847,57,2548741,342639656.10682404,11886.383928571431,56,120874.0,67478116.4423077,1089.1442307692307,52,2544245,474243738.87272733,12072.8,55
5,u05,3867,1706.9752861602497,62.37096774193547,62,954733,68172024.03386186,15651.360655737704,61,1380163,425264703.27471066,6781.677272727273,55,336614.0,207917555.4775,2612.08125,40,1597070,670085721.6354573,8041.584905660377,53
6,u07,1316,376.57142857142856,26.857142857142854,49,717235,143410414.00973502,16679.883720930233,43,1353434,501881887.3553645,7706.989361702128,47,163943.0,98248610.50780432,1829.9435483870968,31,1656432,663893615.3760331,9919.607954545454,44
7,u08,3876,1331.3630744423542,63.540983606557376,61,1434545,62927931.19929452,22770.55555555556,63,1365714,223063158.50793654,5927.873015873017,63,398714.0,84156857.9816145,2197.7627118644073,59,1687475,191630477.74048883,7204.702380952382,63
8,u09,2546,820.7134363852556,43.89655172413793,58,1635805,91707632.48520708,25166.230769230766,65,1503845,497665195.73179257,6671.737704918033,61,280623.0,112163187.95382528,2001.340425531915,47,2163623,453462485.83638895,9523.583333333334,60
9,u10,5009,759.9432966023876,75.89393939393939,66,1088752,51406271.66059172,16750.03076923077,65,1635253,440669611.017334,6896.20703125,64,267797.0,42977817.286963776,1874.7959183673472,49,2352780,450166504.1790634,9420.583333333334,66
10,u12,1939,488.93227731864096,29.37878787878788,66,1201844,52429878.78971534,18209.757575757576,66,2357658,461805430.68870515,9439.060606060606,66,661776.0,257549208.86611265,3411.021929824561,57,2645089,208737379.6402663,10527.814393939394,66
11,u13,3142,1007.9184142487793,53.2542372881356,59,765978,53920773.40476875,12982.677966101697,59,817187,364687668.530816,4764.661458333333,48,360219.0,68941391.32942708,2384.770833333333,48,1411628,448343935.22314566,6699.8026315789475,57
